만화책장,가구/인테리어서재/사무용가구책장,3020,16908,5.598675496688742
카페카운터,가구/인테리어서재/사무용가구사무/교구용가구사무용책상,1440,15960,11.083333333333334
레고정리,생활/건강수납/정리용품정리함소품정리함,2950,12731,4.315593220338983
전정가위,생활/건강공구원예공구원예가위,3990,115035,28.830827067669173
정리대,생활/건강수납/정리용품정리함신발정리대,2250,1841663,818.5168888888888
소품,가구/인테리어인테리어소품장식인형,8400,82427950,9812.85119047619
스크레퍼,생활/건강공구수작업공구기타수작업공구,4240,282459,66.61768867924528
식당테이블,가구/인테리어주방가구식탁/의자식탁테이블,5550,192621,34.70648648648648
리벳건,생활/건강공구수작업공구기타수작업공구,5580,40019,7.171863799283154
원목스툴,가구/인테리어서재/사무용가구의자스툴,9970,150949,15.140320962888666
C클램프,생활/건강공구체결용품홀딩클램프,1600,52237,32.648125
매직캔휴지통리필,생활/건강청소용품휴지통다용도휴지통,2040,14083,6.9034313725490195
매직캔리필봉투280,생활/건강주방용품주방잡화쓰레기봉투,8720,4317,0.4950688073394495
쓰레받기,생활/건강청소용품빗자루/쓰레받기,8730,373603,42.79530355097366
쓰레받이,생활/건강청소용품빗자루/쓰레받기,3990,373603,93.63483709273183
유리창스퀴지,생활/건강청소용품유리닦이용품,1270,30561,24.063779527559056
삼태기,생활/건강청소용품빗자루/쓰레받기,3800,5330,1.4026315789473685
미니토스트기,디지털/가전주방가전토스터기오븐토스터기,1160,16096,13.875862068965517
디캔터,생활/건강주방용품와인용품디캔터,2810,119272,42.44555160142349
머그컵브랜드,생활/건강주방용품잔/컵머그,1840,2168,1.1782608695652175
브랜디잔,생활/건강주방용품잔/컵유리컵,1210,19143,15.820661157024793
부르스타,스포츠/레저캠핑취사용품휴대용가스레인지,19780,36479,1.844236602628918
다이어트식판,생활/건강주방용품식기식판,7010,19483,2.779315263908702
소주잔,생활/건강주방용품잔/컵다기/주기,29760,157758,5.301008064516129
양동이,생활/건강주방용품보관/밀폐용기플라스틱용기,5170,400269,77.42147001934237
모양틀,생활/건강주방용품제과/제빵용품쿠키커터/모양틀,2350,531813,226.30340425531915
벽걸이휴지통,생활/건강청소용품휴지통다용도휴지통,3000,37747,12.582333333333333
위생용품,생활/건강구강위생용품구강청정제/가글,1390,4615890,3320.7841726618703
센스큐휴지통,생활/건강청소용품휴지통다용도휴지통,1550,1796,1.1587096774193548
정션박스,생활/건강공구전기용품기타 전기용품,1630,15999,9.815337423312883
컷쇼,생활/건강공구전동공구컷쏘,1700,6588,3.875294117647059
EMO,패션잡화주얼리목걸이패션목걸이,3220,12721,3.9506211180124224
자석철판,생활/건강문구/사무용품문구용품자석,1300,10290,7.915384615384616
플로피디스크,디지털/가전저장장치기타저장장치,5810,3314,0.5703958691910499
방수갑바,생활/건강공구안전용품기타안전용품,1440,3770,2.6180555555555554
육각나사,생활/건강공구체결용품나사,1240,85767,69.16693548387097
식염수,생활/건강눈건강용품렌즈세정액,14200,5156,0.3630985915492958
방폭등,가구/인테리어인테리어소품조명야외조명,1810,2685,1.4834254143646408
씽크대쓰레기통,생활/건강청소용품휴지통음식물쓰레기통,1990,90403,45.4286432160804
전기자동차충전소,생활/건강자동차용품배터리용품배터리충전기,1630,141614,86.87975460122699
자전거보관,스포츠/레저자전거자전거용품거치대,1080,66760,61.81481481481482
변기뚫어뻥,생활/건강욕실용품욕실청소용품뚫어뻥,36330,135557,3.731268923754473
스프링청소기,생활/건강공구전동공구청소기,2650,61284,23.126037735849057
폐기물마대자루,생활/건강공구포장용품택배봉투,6140,1410,0.2296416938110749
재활용비닐,생활/건강주방용품주방잡화쓰레기봉투,1170,120017,102.57863247863249
물걸레청소포,생활/건강청소용품기타청소용품,18350,161638,8.808610354223433
전동스프링청소기,생활/건강공구전동공구청소기,1740,15691,9.017816091954023
면보루,생활/건강청소용품걸레,1020,1627,1.5950980392156864
마루광택기,디지털/가전생활가전청소기업소용청소기,1230,16920,13.75609756097561
건습식청소기,디지털/가전생활가전청소기업소용청소기,1400,67280,48.05714285714286
마포걸레,생활/건강청소용품밀대/패드,4910,237345,48.33910386965377
리스킹걸레,생활/건강청소용품밀대/패드,1180,32466,27.5135593220339
청소기호스,디지털/가전생활가전청소기청소기액세서리,1900,67972,35.77473684210526
정전기청소포,생활/건강청소용품기타청소용품,8180,86198,10.537652811735942
무동력청소기,디지털/가전생활가전청소기업소용청소기,1010,9643,9.547524752475248
변기솔,생활/건강욕실용품욕실청소용품변기솔,6970,229231,32.88823529411765
에어컨공구,생활/건강공구수작업공구공구함,1260,97366,77.27460317460317
나프탈렌,생활/건강생활용품제습/방향/탈취옷장탈취제,6900,44053,6.384492753623189
검정비닐봉투,생활/건강주방용품주방잡화쓰레기봉투,2640,220866,83.66136363636363
쓰레기봉투가격,생활/건강주방용품주방잡화쓰레기봉투,15300,959801,62.732091503267974
분리수거봉투,생활/건강주방용품주방잡화쓰레기봉투,2820,109548,38.8468085106383
알루미늄봉,생활/건강공구수작업공구기타수작업공구,1220,45515,37.307377049180324
톤백,생활/건강공구포장용품택배봉투,3360,5132,1.5273809523809523
재활용봉투,생활/건강주방용품주방잡화쓰레기봉투,4230,144443,34.14728132387707
자동손세정제,생활/건강욕실용품욕실용기/홀더디스펜서,1850,8141,4.400540540540541
